gram,counts
covid,3322257
19,2972681
covid 19,2893616
covid19,2395575
coronavirus,1343140
vaccine,585388
amp,428102
india,426417
cases,393033
people,392037
new,351452
pandemic,339767
2021,305007
vaccination,283180
may,256796
get,254316
health,238769
us,225102
via,217384
vaccines,212378
virus,206072
19 vaccine,204790
covid 19 vaccine,204258
news,195786
casos,191114
deaths,187415
one,185060
da,180758
vaccinated,174150
help,169943
di,160202
please,156652
05,151334
like,149099
time,145979
need,141257
world,139556
available,137575
government,136628
today,134798
10,133869
000,133211
24,132681
lockdown,130772
corona,130000
day,128947
year,126789
first,126010
china,125513
12,124280
due,121198
pandemia,117147
still,115787
18,114841
dan,113825
कर,113152
na,112599
pfizer,111000
know,110841
last,108114
many,107581
em,107135
hospital,105297
19 pandemic,104584
covid 19 pandemic,104428
15,103850
die,102938
country,102713
state,102696
et,102423
take,100408
also,100305
free,100242
patients,99582
says,98533
would,98332
total,97108
19 vaccination,96453
covid 19 vaccination,96230
positive,95346
des,94211
19 cases,94112
even,94027
covid 19 cases,93839
si,92928
vacunas,91808
good,89824
test,89770
work,89430
dr,88826
não,87542
said,86507
death,86017
public,85317
2020,85246
mask,85235
see,85126
could,85084
go,85025
20,84946
